Nombre Científico,Nombre Común
Setophoma terrestris ,Raíz rosada
Shallot latent virus ,SLV 
Sibovia sagata ,Chicharrita
Sicalis flaveola ,Jilguero
Sicalis luteola ,Misto
Sicyos angulatus,
Sida brazil virus,
Sida mosaic Bolivia virus 2,
Sida Mottle Virus ,SiMoV
Sida rhombifolia ,Escoba dura
Sida spinosa ,Escoba dura
Silene gallica ,Calabacita
Sinapis arvensis,
Sinoxylon perforans,
Sinoxylon sexdentatum ,Carcoma de la vid
Sinoxylon spp.,
Sipha flava ,Pulgón amarillo de la Caña de azúcar
Sipha maydis ,Pulgón negro de los cereales
Siphoninus phillyreae ,Mosca blanca de los fresnos
Sirex noctilio ,Avispa barrenadora de los pinos
Sisymbrium irio ,Nabillo 
Sisymbrium officinale ,Yerba de San Alberto 
Sisymbrium thellungii,
Sitobion avenae ,Pulgón del trigo
Sitophilus granarius ,Gorgojo del trigo
Sitophilus oryzae ,Gorgojo del arroz
Sitophilus zeamais ,Gorgojo del maíz
Sitotroga cerealella ,Palomita de los cereales
Sogatella unidentata,
Soil-borne wheat mosaic virus,
Solanum elaeagnifolium ,Revientacaballos 
Solanum mosaic Bolivia virus,
Solanum ptycanthum,
Solanum sisymbriifolium ,Espina colorada 
Solenopsis geminata ,Hormiga de fuego tropical asiática
Solenopsis invicta ,Hormiga roja de fuego  
Solidago chilensis ,rama de oro
Sonchus asper ,Cerraja brava
Sonchus oleraceus ,Cerraja 
Sonesimia grossa ,Chicharrita
Sophronica ventralis,
Sorghum halepense ,Sorgo de alepo
Southern bean mosaic virus,
Sowbane mosaic virus ,Virus del mosaico de las chenopodiáceas
Soybean blistering mosaic virus ,SBMV
Soybean mosaic virus ,SMV 
Soybean stunt virus ,SSV
Sparganothis pilleriana ,Piral de la vid
Specularius impressithorax,
Spegazzinia tessarthra,
Sphaceloma arachidis ,Sarna del maní 
Sphaceloma fawcettii var. scabiosa,
Sphacelotheca destruens ,Carbon de la panoja del mijo
Sphacelotheca reiliana,
Sphaeralcea bonariensis,
Sphaeropsis sapinea ,Muerte apical 
Sphaerulina musiva ,Cancrosis
Sphaerulina oryzina ,Mancha castaña angosta
Sphaerulina paulistana,
Sphaerulina rehmiana ,Viruela
Sphaerulina rubi,
Sphenoclea zeylanica,
Spilonota ocellana,
Spilosoma virginica ,Gata peluda norteamericana 
Spintherophyta semiaurata,
Spinulospora pucciniiphila,
Spiroplasma citri ,Mal de stubborn 
Spiroplasma kunkelii ,Achaparramiento del maíz
Spixia spixii,
Spodoptera albula ,Gusano cortador
Spodoptera cosmioides ,Oruga del Yuyo Colorado 
Spodoptera dolichos,
Spodoptera eridania ,Oruga militar del sur
Spodoptera exempta,
Spodoptera exigua,
Spodoptera frugiperda ,Oruga militar tardía
Spodoptera latifascia ,gusano cortador
Spodoptera littoralis,
Spodoptera litura,
Spodoptera ochrea,
Spodoptera ornithogalli ,Oruga del yuyo colorado
Spodoptera praefica,
Spongospora subterranea,
Spongospora subterranea f. sp. subterranea,
Sporidesmium coronatum,
Sporidesmium macrurum,
Sporisorium cruentum,
Sporisorium scitamineum ,Carbon
Sporisorium sorghi,
Sporothrix narcissi,
Squash mosaic virus,
Stachybotrys microspora,
Stachybotrys palmicola,
Stachytarpheta cayennensis,
Stachytarpheta jamaicensis,
Stachytarpheta jamaiscensis,
Stagonospora sacchari ,Chamuscado de la hoja
Stathmopoda auriferella,
Stathmopoda plumbiflua,
Stathmopoda skelloni,
Stegobium paniceum ,Carcoma del pan
Stellaria media ,Capiquí 
Stemphylium botryosum,
Stemphylium lycopersici ,Mancha gris
Stemphylium sarciniforme,
Stemphylium solani ,Tizón foliar
Steneotarsonemus spinki,
Stenocarpella macrospora,
Stenocarpella maydis ,Podredumbre basal del tallo
Stenodiplosis sorghicola ,Mosquita del sorgo
Stenodontes spinibarbis ,Taladro 
Stenoma catenifer ,Barrenador del palto
Sternechus subsignatus ,Picudo de la soja 
Sternochetus mangiferae,
Stictis radiata,
Stigmina carpophila ,Cribado 
Stilbella minutissima,
Stipa brachychaeta ,Pasto puna 
Strasseria geniculata,
Strawberry crinkle virus ,SCV 
Strawberry latent ringspot virus ,SLRSV
Strawberry mild yellow edge virus ,SMYEV
Strawberry mottle virus ,Virus del moteado de la frutilla 
Strawberry vein banding virus,
Streptomyces scabiei ,Sarna común 
Striga spp.,
Stromatinia cepivora ,Podredumbre blanca
Stromatinia gladioli,
Strongylaspis limae,
Sugarcane bacilliform virus,
Sugarcane chlorotic streak virus,
Sugarcane mosaic virus ,SCMV 
Sugarcane sereh agent,
Sugarcane striate mosaic-associated virus,
Sugarcane yellow leaf virus ,ScYLV 
Sunflower chlorotic mottle virus ,SuCMoV 
Sunflower mild mosaic virus ,SuMMoV 
Sunflower ring blotch virus ,Anillos irregulares del girasol
Sunn-hemp mosaic virus,
Sydowia polyspora,
Symmetrischema tangolias,
Synanthedon myopaeformis,
Synanthedon tipuliformis ,sesia del grosellero
Syncharina lineiceps,
Synchytrium endobioticum,
Synchytrium vaccinii,
Synedrellopsis grisebachii ,Sinedrellopsis
Syntermes molestus,
Systena argentinensis,
Taeniatherum caput-medusae,
Taeniothrips inconsequens ,Trips del peral
Tagetes minuta ,Chinchilla 
Tagosodes orizicolus ,cigarrita del arroz
Takecallis arundinariae,
Takecallis taiwanes,
Tapajosa rubromarginata,
Taphrina deformans ,Torque del duraznero
Taphrina populina,
Taraxacum officinale ,Diente de León 
Targionia vitis,
Tarsonemus ananas,
Tarsonemus bilobatus,
Tarsonemus cuttacki,
Tatochila autodice autodice ,Isoca de las coles
Tatochila mercedis mercedis ,Isoca de las coles
Taxonus glabratus,
Taygetis ypthima,
Tecia solanivora ,Polilla Guatemalteca de la papa
Tegolophus brunneus ,Acaro marrón de los cítricos
Telenomus remus,
Tenebrio molitor ,Gusano amarillo 
Tenebrio obscurus ,Gusano oscuro 
Tenebroides mauritanicus,
Teratosphaeria epicoccoides ,Viruela del eucalipto
Teratosphaeria gauchensis ,Cancro
Teratosphaeria pseudoeucalypti ,Mancha amarilla
Tessaratoma papillosa,
Tetraleurodes mori,
Tetraneura nigriabdominalis,
Tetranychus andrei,
Tetranychus canadensis,
Tetranychus cinnabarinus ,Araña roja 
Tetranychus desertorum ,Arañuela roja de la alfalfa 
Tetranychus evansi ,Acaro rojo
Tetranychus kanzawai,
Tetranychus mcdanieli,
Tetranychus mexicanus ,Arañita mexicana
Tetranychus neocaledonicus,
Tetranychus pacificus,
Tetranychus turkestani,
Tetranychus urticae ,Arañuela roja común 
Tetranychus viennensis,
Tetranycopsis horridus,
Tetropium castaneum,
Thalia multiflora ,Pehuajó
Thanatopsyche chilensis ,Bicho cesto
Thaumastocoris peregrinus ,Chinche del eucalipto
Thaumatotibia leucotreta,
Thaumetopoea pityocampa,
Thaumetopoea processionea,
Thaxteriella pezizula,
Theba pisana ,Caracol de las dunas 
Thecaphora frezii ,Carbon del maní
Thecaphora solani,
Thecla basalides ,broca do abacaxi 
Therioaphis maculata ,Pugon moteado
Therioaphis riehmi,
Therioaphis trifolii ,Pulgon manchado
Thielaviopsis basicola ,Enfermedad de las raíces pardas
Thlaspi arvense,
Thomasiniana oleisuga,
Thorictodes heydeni,
Thrips angusticeps,
Thrips hawaiiensis,
Thrips major,
Thrips meridionalis,
Thrips obscuratus,
Thrips palmi ,Trips del melón 
Thrips tabaci ,Trips de la cebolla 
Thyanta aeruginosa,
Thyanta patruelis,
Thyas juno,
Thysanoplusia orichalcea,
Tibraca limbativentris ,Chinche del tallo
Tilletia barclayana ,Carbón del grano
Tilletia caries ,Carbón cubierto
Tilletia controversa,
Tilletia indica,
Tilletia intermedia,
Tilletia laevis ,Carbón cubierto
Titya proxima,
Tobacco mosaic virus ,TMV 
Tobacco necrosis virus ,TNV
Tobacco rattle virus ,TRV
Tobacco ringspot virus,
Tobacco streak virus ,TSV 
Tobacco streak virus potato strain,
Tolype incerta,
Tomato black ring virus,
Tomato chlorosis virus ,ToCV
Tomato Chlorotic Spot Virus ,TCSV 
Tomato dwarf leaf virus,
Tomato infectious chlorosis virus ,TICV
Tomato mosaic virus ,ToMV 
Tomato ringspot virus,
Tomato spotted wilt virus ,TSWV 
Tomato yellow spot virus,
Tomato yellow vein streak virus ,ToYVSV
Tomato zonate spot virus ,TZSV
Torneutes pallidipennis,
Tortrix viridana,
Toxoptera aurantii ,Pulgón pardo 
Toxoptera citricidus ,Pulgón negro de los citrus 
Toxotrypana curvicauda,
Trachyderes striatus ,Taladro
Trachyderes succinctus ,Taladro del ramo
Trachyderes thoracicus ,Taladro del tronco
Trachymela sloanei,
Trachymela tincticollis,
Trametes trogii ,Pudrición blanca
Trametes versicolor,
Tranzschelia pruni-spinosae ,Roya
Tranzscheliella hypodytes ,Carbon del tallo de las gramineas
Tremex fuscicornis ,Avispa taladradora de las latifoliadas
Tremex spp. ,excepto T. fuscicornis
Trialeurodes vaporariorum ,Mosca blanca de los invernáculos 
Trianthema portulacastrum ,Verdolaga negra
Tribolium castaneum ,Tribolio castaño
Tribolium confusum ,Tribolio confuso
Tribulus terrestris ,Roseta francesa 
Trichaptum fumosoavellaneum ,Podredumbre blanca
Trichoconiella padwicki ,alternaria mancha foliar
Trichoderma harzianum,
Trichoderma viride,
Trichodorus viruliferus,
Trichonaupactus densius,
Trichoplusia ni ,Falsa medidora 
Trichothecium roseum ,Podredumbre 
Tricolus perdiligens,
Tricolus subincisuralis,
Trioza chenopodii ,Triózido de la quinua
Trioza erytreae ,Sílido africano de los cítricos 
Tripseuxoa strigata,
Triticum mosaic virus ,TriMV
Trogoderma angustum,
Trogoderma anthrenoides,
Trogoderma granarium,
Trogoderma inclusum,
Trogoderma spp.,
Trogoderma variabile,
Trogoxylon giacobbii,
Tropicoporus linteus ,Tropicoporus en quebracho blanco
Tuberculatus annulatus,
Tuberculatus querceus,
Tuberolachnus salignus ,Pulgón grande del sauce
Tuckerella flabellifera,
Tuerta platensis,
Tulip breaking virus ,TBV
Tulip mosaic virus,
Tulip virus X ,TVX
Turnip mosaic virus ,TuMV 
Turnip vein clearing virus ,TVCV
Tuta absoluta ,Polilla del tomate
Tydeus californicus,
Tylauchenia crassicollis,
Tylenchocriconema alleni,
Tylenchorhynchus acti,
Tylenchorhynchus annulatus,
Tylenchorhynchus brevidens,
Tylenchorhynchus claytoni,
Tylenchorhynchus cylindricus,
Tylenchorhynchus dubius,
Tylenchulus semipenetrans ,Nematodo de las raicillas de los citrus
Typhaea stercorea,
Tyrophagus neiswanderi,
Tyrophagus putrescentiae,
Unaspis citri ,Cochinilla blanca del tronco 
Urocerus gigas ,Avispa taladradora de la madera
Urochloa glumeris,
Urochloa plantaginea,
Urocystis cepulae,
Uroleucon jaceae ,Pulgón negro
Uroleucon sonchi ,pulgón de la radicha
Uromyces appendiculatus ,Roya
Uromyces ciceris-arietini,
Uromyces dactylidis ,Roya
Uromyces dianthi,
Uromyces fallens,
Uromyces pisi-sativi ,Roya
Uromyces striatus ,Roya
Uromyces trifolii,
Uromyces viciae-fabae,
Ustilaginoidea virens ,Falso carbón
Ustilago agrestis,
Ustilago avenae ,Carbón desnudo 
Ustilago bullata ,Carbón volador de la Cebadilla
Ustilago hordei ,Carbón cubierto de la Cebada
Ustilago maydis ,Carbón
Ustilago nuda ,Carbón volador 
Valsa sordida,
Vanakripa fasciata,
Vararia tropica,
Venturia carpophila,
Venturia inaequalis ,Sarna del manzano
Venturia pyrina ,Sarna del peral
Verbena litoralis ,Verbena 
Verbesina encelioides ,Flor de Santa María 
Veronica persica ,Verónica  
Verticillium albo-atrum ,Verticiliosis
Verticillium dahliae ,Marchitamiento y muerte 
Vesperus luridus,
Vesperus xatarti,
Vicia graminea,
Vicia sativa ,Arvejilla común 
Viola arvensis ,Trinitaria 
Virgaria nigra,
Viscum album,
Vitacea polistiformis,
Viteus vitifoliae ,Filoxera de la vid 
Waitea circinata ,manchado de las vainas foliares de arroz
Wallengrenia premnas ,Rojiza
Walnut witches broom phytoplasma,
Watermelon mosaic virus,
Wheat mosaic virus ,WMoV
Wheat Streak Mosaic Virus ,WSMV 
Wheat yellow mosaic virus,
Wojnowicia hirta,
X-disease MLO,
Xanthium cavanillesii ,Abrojo grande 
Xanthium spinosum ,Abrojo chico 
Xanthomonas albilineans ,Escaldadura de la hoja
Xanthomonas alfalfae subsp. citrumelonis ,Cancrosis E
Xanthomonas arboricola pv. juglandis ,bacteriosis del nogal 
Xanthomonas arboricola pv. pruni ,Cancrosis bacteriana del ciruelo
Xanthomonas axonopodis pv. cassiae,
Xanthomonas axonopodis pv. cyamopsidis,
Xanthomonas axonopodis pv. dieffenbachiae,
Xanthomonas axonopodis pv. glycines ,Pústula bacteriana
Xanthomonas axonopodis pv. malvacearum ,Mancha angular del algodonero
Xanthomonas axonopodis pv. phaseoli ,bacteriosis común
Xanthomonas axonopodis pv. vasculorum,
Xanthomonas axonopodis pv. vignicola,
Xanthomonas axonopodis pv. vitians ,mancha bacteriana
Xanthomonas axonopodis pv.allii,
Xanthomonas campestris pv. campestris ,Podredumbre negra de las crucíferas 
Xanthomonas campestris pv. gummisudans,
Xanthomonas campestris pv. vesicatoria ,Mancha bacteriana
Xanthomonas citri subsp. citri ,Cancrosis de los citricos
Xanthomonas cucurbitae ,Bacteriosis de las cucurbitaceas
Xanthomonas fragariae ,Mancha angular de la hoja
Xanthomonas fuscans subsp. aurantifolii,
Xanthomonas hortorum pv. carotae,
Xanthomonas oryzae pv. oryzae,
Xanthomonas oryzae pv. oryzicola,
Xanthomonas populi,
Xanthomonas translucens pv. translucens ,Rayado bacteriano
Xanthomonas translucens pv. undulosa ,Estriado bacteriano
Xanthomonas vasicola pv. holcicola,
Xenogenus picturatum,
Xenosporium berkeleyi,
Xerophloea viridis,
Xestia c-nigrum,
Xiphidorus yepesara,
Xiphinema americanum ,Nematodo daga
Xiphinema brevicolle,
Xiphinema diversicaudatum,
Xiphinema index ,Nematodo de la vid
Xiphinema italiae,
Xiphinema krugi,
Xiphinema rivesi ,nematodo daga
Xiphinema surinamensis,
Xiphinema vuittenezi,
Xuloprista hexacanta,
Xyleborinus saxesenii,
Xyleborus affinis,
Xyleborus ferrugineus,
Xyleborus gracilis,
Xyleborus hagedorni,
Xyleborus linearicolis,
Xyleborus neivai,
Xyleborus obliquus,
Xyleborus spinosulus,
Xylella fastidiosa subsp. fastidiosa,
Xylella fastidiosa subsp. multiplex,
Xylella fastidiosa subsp. pauca ,Clorosis variegada de los citricos 
Xylella fastidiosa subsp. sandyi,
Xylella fastidiosa subsp. tashke,
Xyletinus brasiliensis var argentina,
Xylopertha retusa,
Xylophilus ampelinus,
Xylosandrus crassiusculus,
Xylosandrus germanus,
Xylotrupes gideon,
Zabrotes subfasciatus ,Gorgojo pinto del Frijol 
Zaprionus indianus ,mosca
Zenaida auriculata ,Torcaza
Zeuzera pyrina,
Zonotrichia capensis ,Chingolo
Zucchini green mottle mosaic virus ,ZGMMV0
Zucchini mosaic virus ,ZYMV
Zucchini yellow mosaic virus ,ZYMV
Zulia entrerriana ,Chicharrita 
Zygina nivea,
Zygosaccharomyces bailii,
Zygotylenchus guevarai,
